expo,table,project,sponsors,link,category,special
,1,MySeats,,http://disruptsf2015.devpost.com/submissions/40461-myseats,,
,2,Famtastic,CLUB Domains,http://disruptsf2015.devpost.com/submissions/40462-famtastic,,
,3,ImageProcessingPlus,Qualcomm,http://disruptsf2015.devpost.com/submissions/40469-imageprocessingplus,,
,4,Walmart Simple Text ,WalmartLabs,http://disruptsf2015.devpost.com/submissions/40470-walmart-simple-text,,
,5,BLE - Toilet Flush Counter,,http://disruptsf2015.devpost.com/submissions/40476-ble-toilet-flush-counter,,
,6,Inside Out,"CLUB Domains,abbvie,CircleCI,Qualcomm,Yammer,Microsoft Outlook,PCH,IBM Watson,IBM Bluemix",http://disruptsf2015.devpost.com/submissions/40491-inside-out,,
,7,Laser Sketch,,http://disruptsf2015.devpost.com/submissions/40496-laser-sketch,,
,8,Relief,"CLUB Domains,abbvie,MasterCard Developer Zone,Weather Underground,Microsoft Outlook,Esri",http://disruptsf2015.devpost.com/submissions/40509-relief,,
,9,Holographic Scanning,CLUB Domains,http://disruptsf2015.devpost.com/submissions/40517-holographic-scanning,,
,10,TrialMatch,"CLUB Domains,abbvie",http://disruptsf2015.devpost.com/submissions/40518-trialmatch,,
,11,The Presidents Club,CLUB Domains,http://disruptsf2015.devpost.com/submissions/40519-the-presidents-club,,
,12,Health Trajectory,abbvie,http://disruptsf2015.devpost.com/submissions/40521-health-trajectory,,
,13,CloverTime,"Clover Network Inc,Weather Underground",http://disruptsf2015.devpost.com/submissions/40529-clovertime,,
,14,Build-a-Buddy,"CLUB Domains,MasterCard Developer Zone,Weather Underground",http://disruptsf2015.devpost.com/submissions/40532-build-a-buddy,,
,15,Alexa Club,"CLUB Domains,CircleCI,Microsoft Office 365",http://disruptsf2015.devpost.com/submissions/40541-alexa-club,,
,16,CallMe,,http://disruptsf2015.devpost.com/submissions/40542-callme,,
,17,foodhigh.club,"CLUB Domains,CircleCI,Esri",http://disruptsf2015.devpost.com/submissions/40544-foodhigh-club,,
,18,KnÅç,"CLUB Domains,IBM Watson,IBM Bluemix",http://disruptsf2015.devpost.com/submissions/40546-kno,,
,19,BetterMe,CLUB Domains,http://disruptsf2015.devpost.com/submissions/40555-betterme,,
,20,Mia - Virtual Shopping Assistant,"CircleCI,Magnet,WalmartLabs",http://disruptsf2015.devpost.com/submissions/40556-mia-virtual-shopping-assistant,,
,21,NextSeat,"CLUB Domains,Clover Network Inc",http://disruptsf2015.devpost.com/submissions/40562-nextseat,,
,22,shoeenvy,Magnet,http://disruptsf2015.devpost.com/submissions/40563-shoeenvy,,
,23,Grocer,"CLUB Domains,WalmartLabs",http://disruptsf2015.devpost.com/submissions/40570-grocer,,
,24,Easy Shop Club,"CLUB Domains,CircleCI,WalmartLabs",http://disruptsf2015.devpost.com/submissions/40576-easy-shop-club,,
,25,Magic Pill Club,"CLUB Domains,abbvie,Magnet",http://disruptsf2015.devpost.com/submissions/40577-magic-pill-club,,
,26,Cruizing Club,"CLUB Domains,Magnet,MasterCard Developer Zone,Weather Underground,Vin.li",http://disruptsf2015.devpost.com/submissions/40579-cruizing-club,,
,27,TEN/TEN,"CLUB Domains,CircleCI,Weather Underground,Zalando SE,Microsoft Office 365",http://disruptsf2015.devpost.com/submissions/40588-ten-ten,,
,28,Monologgr,"IBM Watson,IBM Bluemix",http://disruptsf2015.devpost.com/submissions/40595-monologgr,,
,29,Pick UR Ride,"CLUB Domains,Ford Motor Comapany,MasterCard Developer Zone",http://disruptsf2015.devpost.com/submissions/40601-pick-ur-ride,,
,30,Quali,"Qualcomm,Esri,PCH,Vin.li",http://disruptsf2015.devpost.com/submissions/40604-quali,,
,31,Analyze My Reviews,IBM Watson,http://disruptsf2015.devpost.com/submissions/40612-analyze-my-reviews,,
,32,Tickler,"Ford Motor Comapany,MasterCard Developer Zone,Weather Underground,Esri,IBM Watson,IBM Bluemix",http://disruptsf2015.devpost.com/submissions/40614-tickler,,
,33,Slapdash,CLUB Domains,http://disruptsf2015.devpost.com/submissions/40617-slapdash,,
,34,TVFitness,"CLUB Domains,CircleCI,PCH",http://disruptsf2015.devpost.com/submissions/40620-tvfitness,,
,35,I'll Have Another,"CLUB Domains,Clover Network Inc,Magnet",http://disruptsf2015.devpost.com/submissions/40621-i-ll-have-another,,
,36,NewsDigest.club,"CLUB Domains,Yammer,IBM Watson,IBM Bluemix",http://disruptsf2015.devpost.com/submissions/40627-newsdigest-club,,
,37,Live Dance Floor,"Magnet,MasterCard Developer Zone,Zalando SE",http://disruptsf2015.devpost.com/submissions/40629-live-dance-floor,,
,38,IBMessenger,"IBM Watson,IBM Bluemix",http://disruptsf2015.devpost.com/submissions/40657-ibmessenger,,
,39,Flash'em App,CLUB Domains,http://disruptsf2015.devpost.com/submissions/40667-flash-em-app,,
,40,Didn't Read,"CLUB Domains,WalmartLabs,IBM Watson",http://disruptsf2015.devpost.com/submissions/40670-didn-t-read,,
,41,i'm bored,,http://disruptsf2015.devpost.com/submissions/40677-i-m-bored,,
